Share of wind and solar in electricity production  (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to list of tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2017 - 2018 (points) ,2000 - 2018 (points) 
Thailand,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,01","0,06","0,38","0,81","0,98","1,53","1,95","2,99","3,37","0,4","3,4"
Pacific,"1,16","1,22","1,19","1,23","1,13","1,06","1,04","1,06","1,12","1,21","1,27","1,23","1,28","1,41","1,47","1,79","2,17","2,64","3,08","3,65","4,45","5,29","6,02","6,84","8,19","9,05","9,40","10,04","11,77","1,7","10,5"
Australia,"0,00","0,00","0,00","0,01","0,01","0,01","0,01","0,02","0,02","0,03","0,05","0,11","0,18","0,35","0,34","0,42","0,78","1,12","1,32","1,61","2,15","2,95","3,70","4,59","5,76","6,56","7,17","8,01","10,15","2,1","10,1"
New Zealand,"6,81","7,07","7,07","7,15","6,59","6,18","6,13","6,30","6,96","7,67","7,92","7,65","7,60","7,37","7,62","9,02","9,38","10,45","12,21","14,82","16,99","18,40","18,90","19,77","22,09","23,39","22,86","22,35","21,94","-0,4","14,0"
Africa,"0,10","0,09","0,08","0,08","0,07","0,11","0,10","0,09","0,10","0,10","0,15","0,20","0,17","0,27","0,34","0,32","0,32","0,36","0,40","0,49","0,60","0,60","0,60","0,77","1,44","1,98","2,28","2,39","2,61","0,2","2,5"
Algeria,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,10","0,15","0,38","0,45","0,1",-
Egypt,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,04","0,18","0,27","0,23","0,39","0,52","0,51","0,53","0,66","0,70","0,82","1,16","1,11","0,91","0,86","0,97","1,19","1,15","1,18","1,63","0,5","1,5"
Nigeria,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",-,-
South Africa,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,01","0,01","0,01","0,01","0,02","0,87","1,95","2,69","2,95","3,19","0,2",-
Middle-East,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,01","0,01","0,01","0,01","0,01","0,01","0,02","0,02","0,05","0,06","0,03","0,05","0,06","0,10","0,15","0,21","0,33","0,39","0,48","0,1","0,5"
Iran,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,03","0,03","0,03","0,02","0,02","0,03","0,04","0,06","0,07","0,09","0,10","0,07","0,09","0,08","0,14","0,13","0,08","0,09","0,10","0,17","0,1","0,1"
Kuwait,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,0",-
Saudi Arabia,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,0",-
United Arab Emirates,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,09","0,26","0,23","0,27","0,27","0,44","0,2",-
n.a. : non avalaible ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"© Copyright Enerdata. Reproduction and diffusion prohibited (web, photocopy, intranet...) without written permission. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
